U+3007: ling,yuan,xing  # 〇
U+3400: qiu  # 㐀
U+3401: tian  # 㐁
U+3404: kua  # 㐄
U+3405: wu  # 㐅
U+3406: yin  # 㐆
U+340C: yi  # 㐌
U+3416: xie  # 㐖
U+341C: chou  # 㐜
U+3421: nuo  # 㐡
U+3424: dan,qiu  # 㐤
U+3428: xu  # 㐨
U+3429: xing  # 㐩
U+342B: xiong  # 㐫
U+342C: liu  # 㐬
U+342D: lin  # 㐭
U+342E: xiang  # 㐮
U+342F: yong  # 㐯
U+3430: xin  # 㐰
U+3431: zhen  # 㐱
U+3432: dai  # 㐲
U+3433: wu  # 㐳
U+3434: pan  # 㐴
U+3435: ru  # 㐵
U+3437: ma  # 㐷
U+3438: qian,ci  # 㐸
U+3439: yi  # 㐹
U+343A: yin,zhong  # 㐺
U+343B: nei  # 㐻
U+343C: cheng  # 㐼
U+343D: feng  # 㐽
U+3441: zhuo  # 㑁
U+3442: fang  # 㑂
U+3443: ao  # 㑃
U+3444: wu  # 㑄
U+3445: zuo  # 㑅
U+3447: zhou  # 㑇
U+3448: dong  # 㑈
U+3449: su  # 㑉
U+344A: yi  # 㑊
U+344B: qiong  # 㑋
U+344C: kuang,wang  # 㑌
U+344D: lei  # 㑍
U+344E: nao  # 㑎
U+344F: zhu  # 㑏
U+3450: shu  # 㑐
U+3454: xu  # 㑔
U+3457: shen  # 㑗
U+3458: jie  # 㑘
U+3459: die  # 㑙
U+345A: nuo  # 㑚
U+345B: su  # 㑛
U+345C: yi,chi  # 㑜
U+345D: long  # 㑝
U+345E: ying  # 㑞
U+345F: beng  # 㑟
U+3463: lan  # 㑣
U+3464: miao  # 㑤
U+3465: yi  # 㑥
U+3466: li  # 㑦
U+3467: ji  # 㑧
U+3468: yu  # 㑨
U+3469: luo  # 㑩
U+346A: chai  # 㑪
U+346E: hun  # 㑮
U+346F: xu  # 㑯
U+3470: hui  # 㑰
U+3471: rao  # 㑱
U+3473: zhou,zhu  # 㑳
U+3475: han  # 㑵
U+3476: xi  # 㑶
U+3477: tai  # 㑷
U+3478: yao  # 㑸
U+3479: hui  # 㑹
U+347A: jun  # 㑺
U+347B: ma  # 㑻
U+347C: lue  # 㑼
U+347D: tang  # 㑽
U+347E: yao  # 㑾
U+347F: zhao  # 㑿
U+3480: zhai,zha  # 㒀
U+3481: yu  # 㒁
U+3482: zhuo  # 㒂
U+3483: er  # 㒃
U+3484: ran  # 㒄
U+3485: qi  # 㒅
U+3486: chi  # 㒆
U+3487: wu  # 㒇
U+3488: han  # 㒈
U+3489: tang  # 㒉
U+348A: se  # 㒊
U+348B: si  # 㒋
U+348C: qiong  # 㒌
U+348D: lei  # 㒍
U+348E: sa  # 㒎
U+3491: kui,hui  # 㒑
U+3492: pu  # 㒒
U+3493: ta  # 㒓
U+3494: shu,du,tu  # 㒔
U+3495: yang  # 㒕
U+3496: ou  # 㒖
U+3497: tai  # 㒗
U+3499: mian  # 㒙
U+349A: yin,wen  # 㒚
U+349B: diao  # 㒛
U+349C: yu  # 㒜
U+349D: mie,wa  # 㒝
U+349E: jun  # 㒞
U+349F: niao  # 㒟
U+34A0: xie  # 㒠
U+34A1: you  # 㒡
U+34A4: che  # 㒤
U+34A5: feng  # 㒥
U+34A6: lei,lei  # 㒦
U+34A7: li  # 㒧
U+34A9: luo  # 㒩
U+34AB: ji  # 㒫
U+34B0: quan  # 㒰
U+34B2: cai  # 㒲
U+34B3: liang  # 㒳
U+34B4: gu  # 㒴
U+34B5: mao  # 㒵
U+34B7: gua  # 㒷
U+34B8: sui  # 㒸
U+34BB: mao  # 㒻
U+34BC: man  # 㒼
U+34BD: quan  # 㒽
U+34BE: shi  # 㒾
U+34BF: li  # 㒿
U+34C1: wang  # 㓁
U+34C2: kou  # 㓂
U+34C3: du  # 㓃
U+34C4: zhen  # 㓄
U+34C5: ting  # 㓅
U+34C8: bing  # 㓈
U+34C9: huo  # 㓉
U+34CA: dong  # 㓊
U+34CB: gong  # 㓋
U+34CC: cheng  # 㓌
U+34CE: qin,qin,qin  # 㓎
U+34CF: jiong  # 㓏
U+34D0: lu  # 㓐
U+34D1: xing  # 㓑
U+34D3: nan  # 㓓
U+34D4: xie  # 㓔
U+34D6: bi  # 㓖
U+34D7: jie  # 㓗
U+34D8: su  # 㓘
U+34DA: gong  # 㓚
U+34DC: you  # 㓜
U+34DD: xing  # 㓝
U+34DE: qia  # 㓞
U+34DF: pi  # 㓟
U+34E0: dian,dian  # 㓠
U+34E1: fu,gua  # 㓡
U+34E2: luo  # 㓢
U+34E3: qia,ge  # 㓣
U+34E4: qia  # 㓤
U+34E5: tang  # 㓥
U+34E6: bai  # 㓦
U+34E7: gan  # 㓧
U+34E8: ci  # 㓨
U+34E9: xuan,jie  # 㓩
U+34EA: lang  # 㓪
U+34ED: she  # 㓭
U+34EE: diao  # 㓮
U+34EF: li  # 㓯
U+34F0: hua  # 㓰
U+34F1: tou,shu  # 㓱
U+34F2: pian  # 㓲
U+34F3: di  # 㓳
U+34F4: ruan  # 㓴
U+34F5: e  # 㓵
U+34F6: qie  # 㓶
U+34F7: yi  # 㓷
U+34F8: zhuo,dou  # 㓸
U+34F9: rui,cui,ji  # 㓹
U+34FA: jian,qian  # 㓺
U+34FC: chi  # 㓼
U+34FD: chong  # 㓽
U+34FE: xi,chi  # 㓾
U+3500: lue  # 㔀
U+3501: deng  # 㔁
U+3502: lin  # 㔂
U+3503: jue,xue  # 㔃
U+3504: su  # 㔄
U+3505: xiao  # 㔅
U+3506: zan  # 㔆
U+3509: zhu  # 㔉
U+350A: zhan,dan  # 㔊
U+350B: jian,lan  # 㔋
U+350C: zou,cou  # 㔌
U+350D: chua,zha  # 㔍
U+350E: xie  # 㔎
U+350F: li,luo  # 㔏
U+3511: chi  # 㔑
U+3512: xi  # 㔒
U+3513: jian  # 㔓
U+3515: ji  # 㔕
U+3517: fei,bei,fu  # 㔗
U+3518: chu  # 㔘
U+3519: beng  # 㔙
U+351A: jie  # 㔚
U+351C: ba  # 㔜
U+351D: liang,liang  # 㔝
U+351E: kuai  # 㔞
U+3520: xia,he  # 㔠
U+3521: bie  # 㔡
U+3522: jue,xue  # 㔢
U+3523: lei  # 㔣
U+3524: xin  # 㔤
U+3525: bai,pi  # 㔥
U+3526: yang  # 㔦
U+3527: lv  # 㔧
U+3528: bei  # 㔨
U+3529: e  # 㔩
U+352A: lu  # 㔪
U+352D: che  # 㔭
U+352E: nuo  # 㔮
U+352F: xuan,suan  # 㔯
U+3530: heng  # 㔰
U+3531: yu  # 㔱
U+3533: gui  # 㔳
U+3534: yi  # 㔴
U+3535: xuan  # 㔵
U+3536: gong,gan  # 㔶
U+3537: lou  # 㔷
U+3538: ti  # 㔸
U+3539: le  # 㔹
U+353A: shi  # 㔺
U+353C: sun  # 㔼
U+353D: yao  # 㔽
U+353E: xian,jie  # 㔾
U+353F: zou  # 㔿
U+3541: que  # 㕁
U+3542: yin,qin  # 㕂
U+3543: xi  # 㕃
U+3544: zhi  # 㕄
U+3545: jia  # 㕅
U+3546: hu  # 㕆
U+3547: la  # 㕇
U+3548: yi  # 㕈
U+3549: ke  # 㕉
U+354A: fu  # 㕊
U+354B: qin  # 㕋
U+354C: ai  # 㕌
U+354E: ke  # 㕎
U+354F: chu  # 㕏
U+3550: xie,xie  # 㕐
U+3551: chu  # 㕑
U+3552: wei  # 㕒
U+3555: huan  # 㕕
U+3556: su  # 㕖
U+3557: you  # 㕗
U+3559: jun  # 㕙
U+355A: zhao  # 㕚
U+355B: xu  # 㕛
U+355C: shi  # 㕜
U+355E: shua  # 㕞
U+355F: kui,kuai  # 㕟
U+3560: shuang  # 㕠
U+3561: he  # 㕡
U+3562: gai,hai  # 㕢
U+3563: yan  # 㕣
U+3564: qiu  # 㕤
U+3565: shen  # 㕥
U+3566: hua  # 㕦
U+3567: xi  # 㕧
U+3568: fan  # 㕨
U+3569: pang  # 㕩
U+356A: dan  # 㕪
U+356B: fang,feng  # 㕫
U+356C: gong,song  # 㕬
U+356D: ao,ao  # 㕭
U+356E: fu  # 㕮
U+356F: ne  # 㕯
U+3570: xue,ma  # 㕰
U+3571: you  # 㕱
U+3572: hua,ying  # 㕲
U+3574: chen  # 㕴
U+3575: guo  # 㕵
U+3576: ň,ňg  # 㕶
U+3577: hua,pa  # 㕷
U+3578: li  # 㕸
U+3579: fa  # 㕹
U+357A: xiao  # 㕺
U+357B: pou  # 㕻
U+357D: si  # 㕽
U+3580: le  # 㖀
U+3581: lin  # 㖁
U+3582: yi  # 㖂
U+3583: hou,hou  # 㖃
U+3585: xu  # 㖅
U+3586: qu  # 㖆
U+3587: er  # 㖇
U+358A: xun  # 㖊
U+358F: nie  # 㖏
U+3590: wei  # 㖐
U+3591: xie  # 㖑
U+3592: ti  # 㖒
U+3593: hong  # 㖓
U+3594: tun  # 㖔
U+3595: nie,xin  # 㖕
U+3596: nie  # 㖖
U+3597: yin  # 㖗
U+3598: zhen  # 㖘
U+359E: wai  # 㖞
U+359F: shou  # 㖟
U+35A0: nuo  # 㖠
U+35A1: ye  # 㖡
U+35A2: qi  # 㖢
U+35A3: tou  # 㖣
U+35A4: han  # 㖤
U+35A5: jun  # 㖥
U+35A6: dong  # 㖦
U+35A7: hun,wen  # 㖧
U+35A8: lu  # 㖨
U+35A9: ju,sou  # 㖩
U+35AA: huo,guo,xu  # 㖪
U+35AB: ling  # 㖫
U+35AD: tian  # 㖭
U+35AE: lun  # 㖮
U+35B5: ge  # 㖵
U+35B6: yan,ye,yin  # 㖶
U+35B7: shi,ti  # 㖷
U+35B8: xue,nia  # 㖸
U+35B9: pen,fen  # 㖹
U+35BA: chun  # 㖺
U+35BB: niu,rou  # 㖻
U+35BC: duo  # 㖼
U+35BD: ze  # 㖽
U+35BE: e  # 㖾
U+35BF: xie,ye  # 㖿
U+35C0: you  # 㗀
U+35C1: e  # 㗁
U+35C2: sheng  # 㗂
U+35C3: wen,hun  # 㗃
U+35C4: ku  # 㗄
U+35C5: hu  # 㗅
U+35C6: ge  # 㗆
U+35C7: xia,ya  # 㗇
U+35C8: man  # 㗈
U+35C9: lue,e  # 㗉
U+35CA: ji,lei  # 㗊
U+35CB: hou  # 㗋
U+35CC: zhi  # 㗌
U+35CF: wai  # 㗏
U+35D1: bai  # 㗑
U+35D2: ai  # 㗒
U+35D3: zhui  # 㗓
U+35D4: qian  # 㗔
U+35D5: gou,gou  # 㗕
U+35D6: dan  # 㗖
U+35D7: bei  # 㗗
U+35D8: bo  # 㗘
