zi	stroke_count
一	1画
丁	2画
丂	2画
七	2画
丄	2画
丅	2画
丆	2画
万	3画
丈	3画
三	3画
上	3画
下	3画
丌	3画
亐	3画
卄	3画
不	4画
与	3画
丏	4画
丐	4画
丑	4画
丒	4画
专	4画
丗	5画
且	5画
丕	5画
世	5画
丘	5画
丙	5画
业	5画
丛	5画
东	5画
丝	5画
丞	6画
丟	6画
丠	6画
両	6画
丢	6画
丣	7画
两	7画
严	7画
丽	7画
鿖	画
並	8画
丧	8画
鿗	画
丨	1画
丩	2画
个	3画
丫	3画
中	4画
丮	4画
丯	4画
丰	4画
丱	5画
串	7画
丳	8画
临	9画
丵	10画
丶	1画
丷	2画
丸	3画
义	3画
丹	4画
为	4画
主	5画
丼	5画
举	9画
丿	1画
乀	1画
乁	1画
乂	2画
乃	2画
乄	2画
久	3画
乆	3画
乇	3画
么	3画
乊	3画
之	3画
乌	4画
尹	4画
乍	5画
乎	5画
乏	4画
乐	5画
乑	6画
乒	6画
乓	6画
乔	6画
乕	7画
乖	8画
乗	9画
乘	10画
乙	1画
乚	1画
乛	1画
乜	2画
九	2画
龴	2画
乞	3画
也	3画
习	3画
乣	4画
乤	4画
乥	4画
书	4画
乧	5画
乨	6画
乩	6画
乪	6画
乫	6画
乬	6画
乭	6画
乮	6画
乯	6画
买	6画
乱	7画
乲	7画
乳	8画
乴	8画
乵	8画
乶	8画
乷	8画
乸	8画
乹	9画
乺	9画
乻	9画
乼	9画
乽	10画
乾	11画
乿	11画
亀	11画
亁	12画
亂	13画
亃	13画
亄	13画
亅	1画
了	2画
亇	3画
予	4画
争	6画
亊	7画
事	8画
二	2画
亍	3画
于	3画
亏	3画
云	4画
互	4画
亓	4画
五	4画
井	4画
亖	4画
亗	5画
亘	6画
亙	6画
亚	6画
些	8画
亜	7画
亝	8画
亞	8画
亟	8画
亠	2画
亡	3画
亢	4画
亣	4画
交	6画
亥	6画
亦	6画
产	6画
亨	7画
亩	7画
亪	7画
享	8画
京	8画
亭	9画
亮	9画
亯	9画
亰	9画
亱	9画
亲	9画
亳	10画
亴	12画
亵	12画
亶	13画
亷	13画
亸	16画
亹	22画
人	2画
亻	2画
亼	3画
亽	3画
亾	3画
亿	3画
什	4画
仁	4画
仂	4画
仃	4画
仄	4画
仅	4画
仆	4画
仇	4画
仈	4画
仉	4画
今	4画
介	4画
仌	4画
仍	4画
从	4画
仏	4画
仐	4画
仑	4画
仒	4画
仓	4画
仔	5画
仕	5画
他	5画
仗	5画
付	5画
仙	5画
仚	5画
仛	5画
仜	5画
仝	5画
仞	5画
仟	5画
仠	5画
仡	5画
仢	5画
代	5画
令	5画
以	4画
仦	5画
仧	5画
仨	5画
仩	5画
仪	5画
仫	5画
们	5画
仭	5画
仮	6画
仯	6画
仰	6画
仱	6画
仲	6画
仳	6画
仴	6画
仵	6画
件	6画
价	6画
仸	6画
仹	6画
仺	5画
任	6画
仼	6画
份	6画
仾	6画
仿	6画
伀	6画
企	6画
伂	6画
伃	6画
伄	6画
伅	6画
伆	6画
伇	6画
伈	6画
伉	6画
伊	6画
伋	5画
伌	6画
伍	6画
伎	6画
伏	6画
伐	6画
休	6画
伒	6画
伓	6画
伔	6画
伕	6画
伖	6画
众	6画
优	6画
伙	6画
会	6画
伛	6画
伜	6画
伝	6画
伞	6画
伟	6画
传	6画
伡	6画
伢	6画
伣	6画
伤	6画
伥	6画
伦	6画
伧	6画
伨	6画
伩	6画
伪	6画
伫	6画
伬	6画
佤	6画
伭	7画
伮	7画
伯	7画
估	7画
伱	7画
伲	7画
伳	7画
伴	7画
伵	7画
伶	7画
伷	7画
伸	7画
伹	7画
伺	7画
伻	7画
似	6画
伽	7画
伾	7画
伿	7画
佀	7画
佁	7画
佂	7画
佃	7画
佄	7画
佅	7画
但	7画
佇	7画
佈	7画
佉	7画
佊	7画
佋	7画
佌	8画
位	7画
低	7画
住	7画
佐	7画
佑	7画
佒	7画
体	7画
佔	7画
何	7画
佖	7画
佗	7画
佘	7画
余	7画
佚	7画
佛	7画
作	7画
佝	7画
佞	7画
佟	7画
你	7画
佡	7画
佢	6画
佣	7画
佥	7画
佦	7画
佧	7画
佨	7画
佩	8画
佪	8画
佫	8画
佬	8画
佭	8画
佮	8画
佯	8画
佰	8画
佱	8画
佲	8画
佳	8画
佴	8画
併	8画
佶	8画
佷	8画
佸	8画
佹	8画
佺	8画
佻	8画
佼	8画
佽	8画
佾	8画
使	8画
侀	8画
侁	8画
侂	8画
侃	8画
侄	8画
侅	8画
來	8画
侇	8画
侈	8画
侉	8画
侊	8画
例	8画
侌	8画
侍	8画
侎	8画
侏	8画
侐	8画
侑	8画
侒	8画
侓	8画
侔	8画
侕	8画
侖	8画
侗	8画
侘	8画
侙	8画
侚	8画
供	8画
侜	8画
依	8画
侞	8画
侟	8画
侠	8画
価	8画
侢	8画
侣	8画
侤	8画
侥	8画
侦	8画
侧	8画
侨	8画
侩	8画
侪	8画
侫	8画
侬	8画
侭	8画
鿇	8画
侮	9画
侯	9画
侰	9画
侱	9画
侲	9画
侳	9画
侴	9画
侵	9画
侶	9画
侷	9画
侸	9画
侹	8画
侺	9画
侻	9画
侼	9画
侽	9画
侾	9画
便	9画
俀	9画
俁	9画
係	9画
促	9画
俄	9画
俅	9画
俆	9画
俇	9画
俈	9画
俉	9画
俊	9画
俋	9画
俌	9画
俍	9画
俎	9画
俏	9画
俐	9画
俑	9画
俒	9画
俓	9画
俔	9画
俕	9画
俖	9画
俗	9画
俘	9画
俙	9画
俚	9画
俛	9画
俜	9画
保	9画
俞	9画
俟	9画
俠	9画
信	9画
俢	8画
俣	9画
俤	9画
俥	9画
俦	9画
俧	9画
俨	9画
俩	9画
俪	9画
俫	9画
俬	9画
俭	9画
修	9画
俯	10画
俰	10画
俱	10画
俲	10画
俳	10画
俴	10画
俵	10画
俶	10画
俷	10画
俸	10画
俹	10画
俺	10画
俻	10画
俼	10画
俽	10画
俾	10画
俿	10画
倀	10画
倁	10画
倂	10画
倃	10画
倄	10画
倅	10画
倆	10画
倇	10画
倈	10画
倉	10画
倊	10画
個	10画
倌	10画
倍	10画
