a+b+c	c	a	b
==============================
335	0	161	174
1098	0	524	574
1380	0	657	723
1715	0	815	900
1399	5	661	733
1734	5	819	910
1100	7	518	575
801	8	376	417
977	8	459	510
1206	8	567	631
1488	8	700	780
1647	9	774	864
619	11	286	322
510	12	233	265
1119	12	522	585
1401	12	655	734
1736	12	813	911
820	13	380	427
996	13	463	520
1490	15	694	781
839	18	384	437
1015	18	467	530
1579	18	733	828
512	19	227	266
1121	19	516	586
1403	19	649	735
1738	19	807	912
998	20	457	521
1227	20	565	642
1509	20	698	791
1668	21	772	875
588	23	259	306
794	23	358	413
1422	24	653	745
1757	24	811	922
515	25	222	268
1017	25	461	531
1740	26	801	913
1511	27	692	792
127	28	33	66
877	28	392	457
1335	28	608	699
1670	28	766	876
1600	30	731	839
687	31	299	357
785	31	346	408
1424	31	647	746
1759	31	805	923
1248	32	563	653
408	33	163	212
896	33	396	467
1689	33	770	886
299	34	110	155
1513	34	686	793
763	35	331	397
690	37	294	359
1602	37	725	840
915	38	400	477
1426	38	641	747
1761	38	799	924
1532	39	690	803
302	40	105	157
1356	40	606	710
1691	40	764	887
1057	42	463	552
1621	42	729	850
1445	43	645	757
1269	44	561	664
1604	44	719	841
1763	45	793	925
