a+b+c	c	a	b
==============================
2328	0	399	1929
2616	0	448	2168
1422	1	245	1176
1857	1	319	1537
2098	1	360	1737
2339	1	401	1937
814	2	141	671
1255	2	216	1037
1449	2	249	1198
1884	2	323	1559
2125	2	364	1759
2366	2	405	1959
451	3	77	371
609	3	105	501
1282	3	220	1059
1476	3	253	1220
1911	3	327	1581
2152	3	368	1781
2393	3	409	1981
2681	3	458	2220
729	4	125	600
1309	4	224	1081
1503	4	257	1242
1938	4	331	1603
2179	4	372	1803
2420	4	413	2003
2708	4	462	2242
995	5	170	820
1530	5	261	1264
1965	5	335	1625
2206	5	376	1825
2447	5	417	2025
2735	5	466	2264
875	6	149	720
1169	6	199	964
1557	6	265	1286
1992	6	339	1647
2233	6	380	1847
2474	6	421	2047
2762	6	470	2286
1778	7	302	1469
2019	7	343	1669
2260	7	384	1869
2501	7	425	2069
2789	7	474	2308
1805	8	306	1491
2046	8	347	1691
2287	8	388	1891
2528	8	429	2091
556	9	92	455
1832	9	310	1513
2073	9	351	1713
2314	9	392	1913
2555	9	433	2113
