a+b+c	c	a	b
==============================
2328	0	399	1929
2616	0	448	2168
510	1	88	421
671	1	116	554
1023	1	176	846
1217	1	209	1007
2181	1	373	1807
2710	1	463	2246
923	2	158	763
1311	2	224	1085
2034	2	347	1685
2275	2	388	1885
2563	2	437	2124
1405	3	239	1163
1646	3	280	1363
1887	3	321	1563
2128	3	362	1763
2416	3	411	2002
2657	3	452	2202
1499	4	254	1241
1740	4	295	1441
1981	4	336	1641
2510	4	426	2080
2798	4	475	2319
297	5	47	245
964	5	162	797
1158	5	195	958
1593	5	269	1319
1834	5	310	1519
2363	5	400	1958
2651	5	449	2197
1252	6	210	1036
2216	6	374	1836
2457	6	415	2036
2745	6	464	2275
643	7	105	531
2069	7	348	1714
2310	7	389	1914
2598	7	438	2153
1922	8	322	1592
2163	8	363	1792
2451	8	412	2031
2692	8	453	2231
1099	9	181	909
1293	9	214	1070
1534	9	255	1270
1775	9	296	1470
2016	9	337	1670
2545	9	427	2109
1387	10	229	1148
1628	10	270	1348
1869	10	311	1548
2398	10	401	1987
430	11	64	355
1481	11	244	1226
1722	11	285	1426
2251	11	375	1865
2492	11	416	2065
2780	11	465	2304
2104	12	349	1743
2345	12	390	1943
2633	12	439	2182
615	13	94	508
1040	13	167	860
1234	13	200	1021
2198	13	364	1821
2727	13	454	2260
1328	14	215	1099
2051	14	338	1699
2292	14	379	1899
2580	14	428	2138
840	15	131	694
1422	15	230	1177
1663	15	271	1377
1904	15	312	1577
2145	15	353	1777
2433	15	402	2016
2674	15	443	2216
722	16	110	596
1081	16	171	894
1516	16	245	1255
1757	16	286	1455
1998	16	327	1655
2286	16	376	1894
2527	16	417	2094
402	17	53	332
981	17	153	811
1175	17	186	972
1610	17	260	1333
1851	17	301	1533
2380	17	391	1972
2668	17	440	2211
881	18	135	728
2233	18	365	1850
2762	18	455	2289
2086	19	339	1728
2327	19	380	1928
2615	19	429	2167
1939	20	313	1606
2180	20	354	1806
2468	20	403	2045
2709	20	444	2245
189	21	12	156
922	21	139	762
1116	21	172	923
1310	21	205	1084
1551	21	246	1284
1792	21	287	1484
2033	21	328	1684
2562	21	418	2123
762	22	111	629
1404	22	220	1162
1645	22	261	1362
1886	22	302	1562
2415	22	392	2001
2703	22	441	2240
1498	23	235	1240
1739	23	276	1440
2268	23	366	1879
2509	23	407	2079
2797	23	456	2318
1157	24	176	957
2121	24	340	1757
2362	24	381	1957
2650	24	430	2196
1251	25	191	1035
642	26	86	530
1345	26	206	1113
1439	27	221	1191
1680	27	262	1391
1098	28	162	908
1533	28	236	1269
1774	28	277	1469
1192	29	177	986
1627	29	251	1347
1039	32	148	859
1233	32	181	1020
939	33	130	776
1327	33	196	1098
1568	33	237	1298
839	34	112	693
1421	34	211	1176
1662	34	252	1376
1515	35	226	1254
1756	35	267	1454
308	36	18	254
980	36	134	810
1174	36	167	971
880	37	116	727
1268	37	182	1049
1362	38	197	1127
1456	39	212	1205
1697	39	253	1405
1115	40	153	922
1550	40	227	1283
1791	40	268	1483
625	41	68	516
693	41	80	572
1644	41	242	1361
1056	44	139	873
1250	44	172	1034
387	45	23	319
1344	45	187	1112
1585	45	228	1312
